match_id,minute,team,type
19296510,77,home,GOAL
19296517,85,home,GOAL
19296538,40,away,GOAL
19296551,67,home,GOAL
19296551,73,home,GOAL
19296551,93,away,RED
19386925,32,home,GOAL
19386925,41,home,GOAL
19386925,55,away,GOAL
19386925,83,home,GOAL
19386987,37,away,GOAL
19386987,49,home,GOAL
19386987,85,home,GOAL
19387016,27,home,GOAL
19387016,45,home,GOAL
19387016,48,home,GOAL
19387016,55,home,GOAL
19387016,76,away,GOAL
19387041,51,home,GOAL
19387041,72,away,RED
19387055,30,away,GOAL
19387055,35,away,RED
19387055,45,home,GOAL
19387055,60,home,GOAL
19387055,78,home,GOAL
19387152,44,home,GOAL
19387176,38,away,GOAL
19387176,51,home,GOAL
19387176,58,home,GOAL
19387176,73,home,GOAL
19387176,84,home,GOAL
19387176,89,home,GOAL
19387178,26,home,GOAL
19387178,38,away,GOAL
19387178,49,home,GOAL
19387178,50,home,GOAL
19387181,26,home,GOAL
19387181,40,away,GOAL
19387181,63,home,GOAL
19387181,97,home,RED
19387213,25,away,GOAL
19387213,61,away,GOAL
19391097,40,home,GOAL
19391097,45,away,GOAL
19391097,62,home,GOAL
19391097,64,away,GOAL
19391097,84,home,RED
19391109,24,away,GOAL
19391109,67,away,GOAL
19391109,89,home,GOAL
19391109,95,away,GOAL
19391133,32,away,GOAL
19391133,35,away,GOAL
19391140,47,away,GOAL
19391140,77,away,GOAL
19391140,93,away,GOAL
19391194,34,home,GOAL
19391194,42,home,GOAL
19391194,46,away,GOAL
19391194,66,away,GOAL
19391320,38,away,GOAL
19391320,85,home,GOAL
19391320,88,away,GOAL
19400367,26,away,GOAL
19400367,62,home,GOAL
19400367,79,home,GOAL
19400368,33,away,GOAL
19400368,47,away,GOAL
19400368,56,away,GOAL
19416796,22,home,GOAL
19416796,39,home,GOAL
19416797,43,home,GOAL
19416797,53,home,GOAL
19416797,59,home,GOAL
19416797,84,away,GOAL
19416797,91,away,GOAL
19424920,39,away,GOAL
19424920,46,away,GOAL
19424920,52,away,GOAL
19424940,26,away,GOAL
19424940,57,home,GOAL
19427543,23,home,GOAL
19427543,33,home,GOAL
19427543,60,home,GOAL
19427543,74,away,GOAL
19427543,92,away,GOAL
19427543,96,home,GOAL
19427548,30,home,GOAL
19427548,51,home,GOAL
19427556,28,home,GOAL
19427556,40,home,GOAL
19427556,77,home,GOAL
19427556,83,home,GOAL
19442981,46,away,GOAL
19442981,56,home,GOAL
19442982,31,away,GOAL
19442982,52,home,GOAL
19442982,53,home,GOAL
19442982,81,away,GOAL
19442982,92,home,GOAL
19442991,25,away,GOAL
19442991,50,away,RED
19442991,74,away,RED
19442991,91,home,GOAL
19442997,43,home,GOAL
19451907,45,away,GOAL
19451907,48,away,GOAL
19451907,85,home,RED
19451924,24,away,GOAL
19568481,39,home,GOAL
19568481,73,home,GOAL
19568481,80,away,GOAL
19568481,96,home,GOAL
19568497,42,away,GOAL
19568497,83,home,RED
19568509,32,home,GOAL
19568509,40,home,GOAL
19568509,42,home,GOAL
19568509,75,home,GOAL
19568509,91,away,GOAL
19568582,41,away,GOAL
19568582,46,away,GOAL
19568582,53,away,GOAL
19568582,76,away,GOAL
19568593,43,home,GOAL
19568593,65,home,GOAL
19568593,66,home,GOAL
19568593,68,home,GOAL
19568593,86,away,GOAL
19569095,21,away,GOAL
19569095,89,home,GOAL
19569101,44,home,GOAL
19569101,86,away,RED
19569113,32,away,GOAL
19569113,58,away,GOAL
19569113,77,away,RED
19569127,26,home,GOAL
19569130,39,away,GOAL
