match_id,halftime,minute,GOALS - away,GOALS - home,REDCARDS - away,REDCARDS - home,BALL_POSSESSION - away,BALL_POSSESSION - home,PASSES - away,PASSES - home,SUCCESSFUL_PASSES - away,SUCCESSFUL_PASSES - home,KEY_PASSES - away,KEY_PASSES - home,ATTACKS - away,ATTACKS - home,CORNERS - away,CORNERS - home,PENALTIES - away,PENALTIES - home,SHOTS_TOTAL - away,SHOTS_TOTAL - home,SHOTS_ON_TARGET - away,SHOTS_ON_TARGET - home,DANGEROUS_ATTACKS - away,DANGEROUS_ATTACKS - home,SUBSTITUTIONS - away,SUBSTITUTIONS - home,YELLOWCARDS - away,YELLOWCARDS - home,FOULS - away,FOULS - home,INJURIES - away,INJURIES - home,goal_home_event,goal_away_event,red_home_event,red_away_event
19095232,1st-half,16,0.0,0.0,0.0,0.0,62.0,38.0,71.0,40.0,58.0,32.0,2.0,2.0,12.0,15.0,0.0,1.0,0.0,0.0,3.0,2.0,0.0,1.0,7.0,15.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
19095232,1st-half,17,0.0,0.0,0.0,0.0,62.0,38.0,71.0,40.0,58.0,32.0,2.0,2.0,13.0,17.0,0.0,1.0,0.0,0.0,3.0,2.0,0.0,1.0,7.0,16.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
19095232,1st-half,18,0.0,0.0,0.0,0.0,62.0,38.0,71.0,40.0,58.0,32.0,2.0,2.0,13.0,21.0,0.0,1.0,0.0,0.0,3.0,2.0,0.0,1.0,7.0,21.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
19095232,1st-half,19,0.0,0.0,0.0,0.0,50.0,50.0,86.0,80.0,72.0,70.0,2.0,2.0,13.0,22.0,0.0,1.0,0.0,0.0,3.0,2.0,0.0,1.0,7.0,21.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
19095232,1st-half,20,0.0,0.0,0.0,0.0,52.0,48.0,98.0,84.0,82.0,73.0,2.0,3.0,14.0,22.0,0.0,1.0,0.0,0.0,3.0,3.0,0.0,1.0,7.0,21.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
19095232,1st-half,21,0.0,0.0,0.0,0.0,51.0,49.0,106.0,94.0,90.0,82.0,2.0,3.0,15.0,22.0,0.0,1.0,0.0,0.0,3.0,3.0,0.0,1.0,9.0,21.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
19095232,1st-half,22,0.0,0.0,0.0,0.0,51.0,49.0,106.0,94.0,90.0,82.0,2.0,3.0,15.0,25.0,0.0,1.0,0.0,0.0,3.0,3.0,0.0,1.0,9.0,21.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
19095232,1st-half,23,0.0,0.0,0.0,0.0,53.0,47.0,120.0,102.0,102.0,88.0,2.0,3.0,17.0,25.0,0.0,1.0,0.0,0.0,4.0,3.0,0.0,1.0,13.0,21.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
19095232,1st-half,24,0.0,0.0,0.0,0.0,53.0,47.0,120.0,102.0,102.0,88.0,3.0,3.0,17.0,29.0,0.0,1.0,0.0,0.0,4.0,3.0,0.0,1.0,13.0,21.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
19095232,1st-half,25,0.0,0.0,0.0,0.0,50.0,50.0,120.0,114.0,102.0,100.0,3.0,3.0,20.0,30.0,0.0,1.0,0.0,0.0,4.0,3.0,0.0,1.0,14.0,21.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
